group,slot,team
A,1,Mexico
A,2,South Korea
A,3,Czech Republic
A,4,South Africa
B,1,Canada
B,2,Switzerland
B,3,Qatar
B,4,Bosnia and Herzegovina
C,1,Brazil
C,2,Morocco
C,3,Scotland
C,4,Haiti
D,1,United States
D,2,Australia
D,3,Paraguay
D,4,Turkey
E,1,Germany
E,2,Ivory Coast
E,3,Ecuador
E,4,Curaçao
F,1,Netherlands
F,2,Japan
F,3,Sweden
F,4,Tunisia
G,1,Egypt
G,2,Iran
G,3,Belgium
G,4,New Zealand
H,1,Spain
H,2,Uruguay
H,3,Cape Verde
H,4,Saudi Arabia
I,1,France
I,2,Norway
I,3,Senegal
I,4,Iraq
J,1,Argentina
J,2,Austria
J,3,Algeria
J,4,Jordan
K,1,Portugal
K,2,Colombia
K,3,DR Congo
K,4,Uzbekistan
L,1,England
L,2,Croatia
L,3,Ghana
L,4,Panama
